,0,1
0,web master,webmaster
1,web designer,webdesigner
2,web Methods,webMethods
3,v Specialists,vSpecialists
4,v Specialist,vSpecialist
5,v Architect,vArchitect
6,travelers,travellers
7,traineeships,traineeship
8,the Spectral,theSpectral
9,telemarketer,telemarketeer
10,technician,tecnician
11,technology,technololgy
12,technologies,technnologies
13,team leader,teamleader
14,system consultant,systemconsultant
15,supervisor,supevisor
16,supervise,superviser
17,sub specialist,subspecialist
18,staff club,staffclub
19,specialist,speialist
20,service line,serviceline
21,secondary,secondairy
22,sales force,salesforce
23,s Specialist,sSpecialist
24,represent at,representat
25,re engineer,reengineer
26,recherches,recherche
27,prototype,prototyper
28,proportion,propotion
29,project manager,projectmanager
30,programmer programmer,programmerprogrammer
31,programmer,progammer
32,professional,profesional
33,pod caster,podcaster
34,occasional,occasionale
35,nation aux,nationaux
36,mud logging,mudlogging
37,more Author,moreAuthor
38,middle ware,middleware
39,metallic he,metalliche
40,management,mangement
41,lab oratorio,laboratorio
42,internship,intership
43,inter networking,internetworking
44,integrating,intergrating
45,interactive,interactieve
46,intelligence,intellligence
47,institutions,institutios
48,infective,infectives
49,industries,industriels
50,industrial,industria
51,gynecology,gynaecology
52,gynecologist,gynaecologist
53,financial,financials
54,expeditor's,expeditors
55,entertainment market,entertainmentmarket
56,engineering,enginering
57,engineer software,engineersoftware
58,engineer engineer,engineerengineer
59,e Solutions,eSolutions
60,e Services,eServices
61,e Procurement,eProcurement
62,e Marketing,eMarketing
63,e Learning,eLearning
64,e Instruction,eInstruction
65,e Discovery,eDiscovery
66,e Commerce,eCommerce
67,e Business,eBusiness
68,drifts chef,driftschef
69,developer,developerv
70,developer Works,developerWorks
71,development,developement
72,department,departement
73,deep water,deepwater
74,data warehouse,datawarehouse
75,copy writing,copywriting
76,copy editor,copyeditor
77,controller,controler
78,consultant,consultantn
79,computable,comptable
80,communication,communcation
81,commissioning,commissionning
82,call center,callcenter
83,available,avaialable
84,at Vantage,atVantage
85,assistant,assisstant
86,acquisition,aquisition
87,and Insurance,andInsurance
88,all rounder,allrounder
89,accountant,accoutant
90,World builder,Worldbuilder
91,World Wide,WorldWide
92,Work student,Workstudent
93,Work stream,Workstream
94,Works manager,Worksmanager
95,Work scope,Workscope
96,Work light,Worklight
97,Work group,Workgroup
98,Workforce Logic,WorkforceLogic
99,Work flows,Workflows
100,Work Study,WorkStudy
101,Work Stream,WorkStream
102,Work Space,WorkSpace
103,Work Group,WorkGroup
104,Work Force,WorkForce
105,Word press,Wordpress
106,Word Press,WordPress
107,Worcestershire,Worcesetershire
108,Woolworth,Woolworths
109,Woolly butt,Woollybutt
110,Wind scale,Windscale
111,Win Mobile,WinMobile
112,Wiener mobile,Wienermobile
113,White gate,Whitegate
114,White Pages,WhitePages
