original,formatted,score,,
Graphic Artist , graphic artist ,1000,,
Sound Designer , sound designer ,1000,,
Consultant (Oracle, ADF), System Architector , consultant oracle adf system architect or ,99
Director of Sales, Asia , director of sales asia ,100,
Graphic Design Specialist , graphic design specialist ,1000,,
Property Management Leader , property management leader ,1000,,
Email Marketing and Graphics Specialist , email marketing and graphics specialist ,1000,,
Software Engineer - Intern , software engineer  intern ,1000,,
Software Engineer , software engineer ,1000,,
Director of Products , director of products ,1000,,
System Administrator , system administrator ,1000,,
Project Consultant , project consultant ,1000,,
ITLDP , itldp ,100,,
Executive Consultant , executive consultant ,1000,,
Consultant , consultant ,1000,,
Support Engineer , support engineer ,1000,,
Products Marketing , products marketing ,1000,,
Managing Director , managing director ,1000,,
Director Field Application Engineer , director field application engineer ,1000,,
Software Engineer , software engineer ,1000,,
AX Support Analyst , ax support analyst ,100,,
Sr. Software Engineer , senior software engineer ,91,,
Structural Engineer , structural engineer ,1000,,
Techncial Infrastructure Project Manager , techncial infrastructure project manager ,100,,
Sales Export Engineer , sales export engineer ,1000,,
Recruitment Consultant , recruitment consultant ,1000,,
Sr. HRIS /Compensation Analyst , senior human resource information system compensation analyst ,63,,
Senior Systems Engineer/project Manager , senior systems engineer project manager ,99,,
Team Lead , team lead ,1000,,
Environment Artist , environment artist ,1000,,
HR SAP Training Staff , hr sap training staff ,100,,
Project Lead , project lead ,1000,,
ABAP   Developer , advanced business application programming   developer ,46,,
Lead Artist / Art Specialist , lead artist  art specialist ,1000,,
Marketing Director , marketing director ,1000,,
Anaesthetic SHO , anaesthetic sho ,100,,
Managing Director, Japan , managing director japan ,1000,
Gas Turbine Fitter/Tester , gas turbine fitter tester ,98,,
SQL Server Infrastructure DBA , sql server infrastructure ddoing business as ,79,,
Teaching Assistant , teaching assistant ,1000,,
Art Director , art director ,1000,,
Sketch Artist , sketch artist ,1000,,
Communications Manager , communications manager ,1000,,
Instructional Technology Specialist , instructional technology specialist ,1000,,
Manager Transaction Services , manager transaction services ,1000,,
Software Engineer (Game Development) , software engineer game development ,1000,,
Engineer , engineer ,1000,,
Facilities Technical Writer , facilities technical writer ,1000,,
Various , various ,1000,,
Solution Director , solution director ,1000,,
Associate Consultant , associate consultant ,1000,,
Confidential , confidential ,1000,,
Operations Management Leadership Program , operations management leadership program ,1000,,
Tools Engineer , tools engineer ,1000,,
Mechanical Structural Engineer , mechanical structural engineer ,1000,,
Account Support Manager , account support manager ,1000,,
Network Support Analyst , network support analyst ,1000,,
Web Analyst , web analyst ,1000,,
Subcontractor/Manager , subcontractor manager ,98,,
Content Support Representative , content support representative ,1000,,
Business Controller , business controller ,1000,,
Director - SMB &amp; Distribution Sales - Emerging Markets, EMEA , director  smb  distribution sales  emerging markets emea ,100,
Website Developer /IT Manager , websinformation technologye developer information technology manager ,58,,
Business Development Manager , business development manager ,1000,,
Campus Ambessador , campus ambessador ,100,,
Quantitative Solutions Sales - Portfolio Optimization, Daily Risk Models, Performance Attribution , quantitative solutions sales  portfolio optimization daily risk models performance attribution ,1000
Network Administrator / Linux System Administrator , network administrator  linux system administrator ,100,,
Product Manager , product manager ,1000,,
Software Engineer , software engineer ,1000,,
Major Account Manager , major account manager ,1000,,
Translator and Media Planner , translator and media planner ,1000,,
Co-Founder , co-founder ,95,,
Consultant - SAP MM, SD, FI , consultant  sap mm sd phi ,94
Programme Director, Assurance &amp; Integration Services - Ford SWIFT Programme , programmerr director assurance  integration services  ford swift programmerr ,97,
LifeScience CRM Solutions , life science crm solutions ,98,,
Book Keeper , book keeper ,1000,,
IT Specialist , information technology specialist ,57,,
Software Engineer , software engineer ,1000,,
Software Sales Representative , software sales representative ,1000,,
Sales Executive , sales executive ,1000,,
Senior Geologist , senior geologist ,1000,,
Sales Manager / Senior Consultant , sales manager  senior consultant ,1000,,
Engineer , engineer ,1000,,
Consultant , consultant ,1000,,
Team Lead , team lead ,1000,,
Cost Accountant , cost accountant ,1000,,
Customer Engineer/Executive System Engineer , customer engineer executive system engineer ,99,,
Network Support Engineer , network support engineer ,1000,,
Lead DevOps Engineer , lead devops engineer ,100,,
Accounting Manager , accounting manager ,1000,,
VP, Strategy &amp; Planning , vp strategy  planning ,100,
Head, Business Consulting, AsiaPac Service Provider Market , head business consulting asiapac service provider market ,100
iOS / Android Developer , ios  android developer ,100,,
HSE Advisor , health and safety executive advisor ,48,,
Software Consultant , software consultant ,1000,,
Software Developer , software developer ,1000,,
Global Sales, Tier 1 Strategic Accounts , global sales tier 1 strategic accounts ,1000,
Prinicipal Regulatory Affairs Specialist , principal regulatory affairs specialist ,99,,
Business Development Manager Europe , business development manager europe ,100,,
Global Account Architect , global account architect ,1000,,
Tools &amp; Engine Developper , tools  engine developer ,98,,
Interim Group Finance Manager , interim group finance manager ,1000,,
Product Specialist (Sales and Support) , product specialist sales and support ,1000,,
Senior Analyst , senior analyst ,1000,,
Marketing Director , marketing director ,1000,,
HR Reporting Analyst , hr reporting analyst ,100,,
sr. Drilling Supervisor UK North Sea (consultant through Saficiency D.C. Ltd.) , senior drilling supervisor uk north sea consultant through saficiency dc ltd ,97,,
Software Engineer , software engineer ,1000,,
System Test Analyst , system test analyst ,1000,,
Technical Director , technical director ,1000,,
IT Program and Project Management , information technology program and project management ,77,,
Director , director ,1000,,
Engineering Contractor , engineering contractor ,1000,,
Principal Engineer , principal engineer ,1000,,
Digital Assistant , digital assistant ,1000,,
Sr. Recruiter , senior recruiter ,86,,
Applications Engineer , applications engineer ,1000,,
Technical Project Manager , technical project manager ,1000,,
Technical Analyst at St Rose Hospital , technical analyst at st rose hospital ,1000,,
Customer Experience Team Coordinator , customer experience team coordinator ,1000,,
Product Manager , product manager ,1000,,
Label Management , label management ,1000,,
Senior Business Consultant , senior business consultant ,1000,,
Editor-in-Chief , editorinchief ,100,,
Product Manager , product manager ,1000,,
Lead Planner , lead planner ,1000,,
AMCC Duty Manager , amcc duty manager ,100,,
Technical Pre-Sales Manager , technical presales manager ,100,,
Team Leader Safety Documentation , team leader safety documentation ,1000,,
Trade&amp;Risk Management Business Unit Manager , traderisk management business unit manager ,100,,
Level 3 Rigger. , level 3 rigger ,1000,,
Senior FX Artist , senior fx artist ,100,,
IT Architect / Pre-sales Architect , information technology archinformation technologyect  presales archinformation technologyect ,52,,
Validation Specialist , validation specialist ,1000,,
Senior Sales Consultant , senior sales consultant ,1000,,
Director Marketing Analytics , director marketing analytics ,1000,,
Fire Fighting and HVAC Engineer , fire fighting and hvac engineer ,100,,
Business Development Manager-Oil and Gas , business development manager oil and gas ,99,,
Business Manager , business manager ,1000,,
Associate Producer/Game Designer , associate producer game designer ,98,,
Program Support Engineer , program support engineer ,1000,,
Platform Operations Manager , platform operations manager ,1000,,
Manager, Media Operations , manager media operations ,1000,
Sr. Campaign Manager , senior campaign manager ,90,,
Restaurant Manager , restaurant manager ,1000,,
Senior Software Developer , senior software developer ,1000,,
Web Site Manager , web site manager ,1000,,
Senior Software Engineer , senior software engineer ,1000,,
Senior Developer , senior developer ,1000,,
Assistance Coating Engineer , assistance coating engineer ,1000,,
Embedded Software Developer , embedded software developer ,1000,,
Marketing Planning Manager , marketing planning manager ,1000,,
Manager, EDW Analytic Support , manager edw analytic support ,100,
Director, Information Resources &amp; Services , director information resources  services ,1000,
Environmental Scientist , environmental scientist ,1000,,
Head of Project Management , head of project management ,1000,,
Software Developer , software developer ,1000,,
HR Partner , hr partner ,100,,
Category Manager , category manager ,1000,,
Charg&eacute; de projets validation , chargé de projets validation ,100,,
Senior Analytic Principal-Direct Marketing , senior analytic principal direct marketings ,98,,
Senior Manager, Data &amp; Analytics , senior manager data  analytics ,1000,
Freelance Communications Specialist , freelance communications specialist ,1000,,
Front End Developer , front end developer ,1000,,
Supply Chain Demand Planner , supply chain demand planner ,1000,,
Senior Social Game Designer , senior social game designer ,1000,,
Designer and Consultant , designer and consultant ,1000,,
Founder | Counsel, Senior Attorney, Associate , founder  counsel senior attorney associate ,1000
Lead Programmer , lead programmer ,1000,,
Bank of America|Merrill Lynch NOC Technical Consultant II , bank of america merrill lynch con technical consultant ii ,96,,
QA Engineer II , quality assurance engineer ii ,65,,
Programmer Analyst , programmer analyst ,1000,,
Sales manager , sales manager ,1000,,
Analytic Director , analytic director ,1000,,
Consultant , consultant ,1000,,
Art Director / Studio Manager , art director  studio manager ,1000,,
Software Engineer , software engineer ,1000,,
Engineer , engineer ,1000,,
Systems Analyst , systems analyst ,1000,,
Statistical Analysis Computer Programming Mentor , statistical analysis computer programming mentor ,1000,,
Chief Technology Officer , chief technology officer ,1000,,
Software Intern , software intern ,1000,,
IBM Global Client Services Manager - RBS Integrated Account , ibm global client services manager  rbs integrated account ,100,,
Project Manager , project manager ,1000,,
Analytical Chemist , analytical chemist ,1000,,
Hyperion Consultant , hyperion consultant ,100,,
SEO Expert| Web analytics| SEM Expert , search engine optimization expert web analytics chem expert ,72,,
Broadcast Designer , broadcast designer ,1000,,
Roughman-concept artist , roughmanconcept artist ,100,,
Sales Manager , sales manager ,1000,,
QC Microbiological Laboratory Assistant, Loughbeg Drug Product Plant , qc microbiological laboratory assistant loughbeg drug product plant ,100,
Owner / IT consultant / Information Architet , owner  information technology consultant  information archinformation technologyet ,68,,
Sr. Manager - Global CRM Practice , senior manager  global crm practice ,94,,
Software Engineer , software engineer ,1000,,
Teaching Assistant C Programming , teaching assistant c programming ,100,,
Sales Supervisor , sales supervisor ,1000,,
Brand Manager &amp; Designer , brand manager  designer ,1000,,
Manager, China , manager china ,1000,
Wireless Application Marketing Manager , wireless application marketing manager ,1000,,
Sr. Group Marketing Manager &ndash; Microsoft Entertainment &amp; Devices (Xbox) , senior group marketings manager  microsoft entertainment  devices xbox ,96,,
