original,formatted,score,check,v1,v2,v3
Project Manager - EMEA Sales Operations , Project Manager - EMEA Sales Operations ,100,y,,,
Web Designer , Web Designer ,1000,y,,,
Graphic Artist and Web Designer , Graphic Artist and Web Designer ,1000,y,,,
CIO , CIO ,100,y,,,
Systems Engineer , Systems Engineer ,1000,y,,,
Role &ndash; Sr. Hyperion Lead &amp; Admin , Role &ndash; Sr. Hyperion Lead &amp; administrator ,89,n,,,
Sales Development Manager/SE Manager,,0,n,,,
Vice President Storage &amp; Trading , Vice President Storage amp Trading ,1000,y,,,
IT Systems Engineer , IT Systems Engineer ,1000,y,,,
Drilling Engineer , Drilling Engineer ,1000,y,,,
Consultant Drilling Fluids and Cement Supervisor , Consultant Drilling Fluids and Cement Supervisor ,1000,y,,,
Senior Sales Representative , Senior Sales Representative ,1000,y,,,
Web Production Manager , Web Production Manager ,1000,y,,,
Project Planner , Project Planner ,1000,y,,,
Developer , Developer ,1000,y,,,
Platform Engineer , Platform Engineer ,1000,y,,,
SAP BI Architect , SAP BI Architect ,1000,y,,,
Manager , Manager ,1000,y,,,
Validation Engineer , Validation Engineer ,1000,y,,,
Senior Development Manager , Senior Development Manager ,1000,y,,,
Director of SAP Cloud Support China Center , Director of SAP Cloud Support China Center ,1000,y,,,
Sr. Engineer , Sr Engineer ,1000,y,,,
E-Commerce Project Manager ,  ,0,n,,,
Designer , Designer ,1000,y,,,
UX Designer / Developer , User experience design Designer / Developer ,67,y,,,
Associate Scientist , Associate Scientist ,1000,y,,,
Associate Consultant , Associate Consultant ,1000,y,,,
Web Designer , Web Designer ,1000,y,,,
Software Engineer , Software Engineer ,1000,y,,,
Lead Gameplay Designer, Lead Gameplay Designer,100,y,,,
Software Engineer , Software Engineer ,1000,y,,,
Bridal Wear Sales Assistant , Bridal Wear Sales Assistant ,1000,y,,,
Консультант SAP ,  ,0,n,,,
Consumer Care Analyst , Consumer Care Analyst ,1000,y,,,
Product Line Manager - IWS Integrated Completion ,  ,0,n,,,
Senior Staff Member , Senior Staff Member ,1000,y,,,
VMware Administrator , VMware Administrator ,100,y,,,
Subsea Field Engineer , Subsea Field Engineer ,100,y,,,
Technical marketeer , Technical marketeer ,1000,y,,,
Programmer/Analyst ,  ,0,n,,,
